Año;LOCALIDAD;EDAD;Adolescentes encuestados;Adolesc_alteraciónensalud;Adolesc_somnolenciadiurna;Adolesc_usodeAudifonos
2021;Engativá;15;31;6;0;21
2021;Engativá;16;36;9;0;28
2021;Engativá;17;17;3;0;14
2021;Fontibón;11;14;0;0;8
2021;Fontibón;12;14;0;0;10
2021;Fontibón;13;19;1;0;13
2021;Fontibón;14;16;1;0;11
2021;Fontibón;15;18;0;0;13
2021;Fontibón;16;15;4;1;14
2021;Fontibón;17;12;1;0;9
2021;Kennedy;11;47;2;0;25
2021;Kennedy;12;59;2;0;37
2021;Kennedy;13;65;5;0;44
2021;Kennedy;14;59;2;0;46
2021;Kennedy;15;45;0;0;30
2021;Kennedy;16;51;1;0;37
2021;Kennedy;17;18;1;0;15
2021;Mártires;11;17;3;0;9
2021;Mártires;12;24;2;0;14
2021;Mártires;13;13;2;0;10
2021;Mártires;14;22;3;0;17
2021;Mártires;15;11;0;0;10
2021;Mártires;16;10;2;1;8
2021;Mártires;17;8;4;0;7
2021;Puente Aranda;11;11;1;0;8
2021;Puente Aranda;12;20;1;0;15
2021;Puente Aranda;13;17;2;0;15
2021;Puente Aranda;14;13;1;0;12
2021;Puente Aranda;15;15;1;0;15
2021;Puente Aranda;16;14;1;0;14
2021;Puente Aranda;17;10;1;0;10
2021;Rafael Uribe;11;17;2;0;6
2021;Rafael Uribe;12;22;1;0;13
2021;Rafael Uribe;13;19;1;0;12
2021;Rafael Uribe;14;20;2;0;16
2021;Rafael Uribe;15;16;0;0;11
2021;Rafael Uribe;16;12;4;0;7
2021;Rafael Uribe;17;6;1;0;5
2021;San Cristóbal;11;23;1;0;15
2021;San Cristóbal;12;23;0;0;13
2021;San Cristóbal;13;11;0;1;6
2021;San Cristóbal;14;23;4;1;12
2021;San Cristóbal;15;19;1;0;14
2021;San Cristóbal;16;13;2;1;9
2021;San Cristóbal;17;8;1;0;7
2021;Santa Fe;11;15;1;0;6
2021;Santa Fe;12;20;2;0;14
2021;Santa Fe;13;20;0;0;14
2021;Santa Fe;14;21;2;0;14
2021;Santa Fe;15;13;4;1;11
2021;Santa Fe;16;9;1;0;7
2021;Santa Fe;17;8;0;0;4
2021;Suba;11;50;6;4;32
2021;Suba;12;57;15;4;40
2021;Suba;13;53;15;1;41
2021;Suba;14;38;5;3;27
2021;Suba;15;51;9;5;41
2021;Suba;16;34;8;2;27
